url_length,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent,n_redirection,phishing
37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
126,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,1
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
